,index,station id,station name,station latitude,station longitude,path_concat,Origin-Destination
186,342414,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Paulus-Hook,Origin
187,342414,3184,Paulus-Hook,40.7141454,-74.0335519,Astor-Place_Paulus-Hook,Destination
188,343938,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Pershing-Field,Origin
189,343938,3210,Pershing-Field,40.742677141,-74.051788633,Astor-Place_Pershing-Field,Destination
190,342942,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Riverview-Park,Origin
191,342942,3196,Riverview-Park,40.7443187,-74.04399090000001,Astor-Place_Riverview-Park,Destination
192,343897,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Sip-Ave,Origin
193,343897,3195,Sip-Ave,40.73089709786179,-74.06391263008119,Astor-Place_Sip-Ave,Destination
194,331434,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Union-St,Origin
195,331434,3191,Union-St,40.71821129999999,-74.08363940000001,Astor-Place_Union-St,Destination
196,338377,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Van-Vorst-Park,Origin
197,338377,3213,Van-Vorst-Park,40.71848892,-74.047726625,Astor-Place_Van-Vorst-Park,Destination
198,175682,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_W-45-St-&-8-Ave,Origin
199,175682,2021,W-45-St-&-8-Ave,40.75929124,-73.98859651,Astor-Place_W-45-St-&-8-Ave,Destination
200,332403,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Warren-St,Origin
201,332403,3187,Warren-St,40.721123600000006,-74.03805095,Astor-Place_Warren-St,Destination
202,328443,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_Washington-St,Origin
203,328443,3638,Washington-St,40.7242941,-74.0354826,Astor-Place_Washington-St,Destination
204,311195,3280,Astor-Place,40.71928220070703,-74.07126188278198,Astor-Place_York-St,Origin
205,311195,3481,York-St,40.71649,-74.04105,Astor-Place_York-St,Destination
206,331995,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_5-Corners-Library,Origin
207,331995,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,Baldwin-at-Montgomery_5-Corners-Library,Destination
208,329798,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Astor-Place,Origin
209,329798,3280,Astor-Place,40.71928220070703,-74.07126188278198,Baldwin-at-Montgomery_Astor-Place,Destination
210,343709,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Baldwin-at-Montgomery,Origin
211,343709,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Baldwin-at-Montgomery,Destination
212,324540,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Bergen-Ave,Origin
213,324540,3679,Bergen-Ave,40.72210378668603,-74.07145500183104,Baldwin-at-Montgomery_Bergen-Ave,Destination
214,343685,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Brunswick-&-6th,Origin
215,343685,3269,Brunswick-&-6th,40.726011729646245,-74.0503889322281,Baldwin-at-Montgomery_Brunswick-&-6th,Destination
216,343491,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Brunswick-St,Origin
217,343491,3209,Brunswick-St,40.7241765,-74.05065640000001,Baldwin-at-Montgomery_Brunswick-St,Destination
218,327750,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Christ-Hospital,Origin
219,327750,3212,Christ-Hospital,40.734785818,-74.050443636,Baldwin-at-Montgomery_Christ-Hospital,Destination
220,341934,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_City-Hall,Origin
221,341934,3185,City-Hall,40.717732500000004,-74.04384499999999,Baldwin-at-Montgomery_City-Hall,Destination
222,342232,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Columbus-Dr-at-Exchange-Pl,Origin
223,342232,3792,Columbus-Dr-at-Exchange-Pl,40.71687,-74.03281,Baldwin-at-Montgomery_Columbus-Dr-at-Exchange-Pl,Destination
224,337368,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Columbus-Drive,Origin
225,337368,3275,Columbus-Drive,40.71835519823214,-74.03891444206238,Baldwin-at-Montgomery_Columbus-Drive,Destination
226,341854,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Communipaw-&-Berry-Lane,Origin
227,341854,3277,Communipaw-&-Berry-Lane,40.71435836870427,-74.06661093235016,Baldwin-at-Montgomery_Communipaw-&-Berry-Lane,Destination
228,309125,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Dey-St,Origin
229,309125,3201,Dey-St,40.737711,-74.066921,Baldwin-at-Montgomery_Dey-St,Destination
230,342465,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Dixon-Mills,Origin
231,342465,3279,Dixon-Mills,40.72163014263835,-74.04996782541275,Baldwin-at-Montgomery_Dixon-Mills,Destination
232,325709,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Essex-Light-Rail,Origin
233,325709,3214,Essex-Light-Rail,40.712774200000005,-74.03648570000001,Baldwin-at-Montgomery_Essex-Light-Rail,Destination
234,342829,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Fairmount-Ave,Origin
235,342829,3678,Fairmount-Ave,40.72572613742557,-74.07195925712584,Baldwin-at-Montgomery_Fairmount-Ave,Destination
236,189725,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Front-St-&-Jay-St,Origin
237,189725,3804,Front-St-&-Jay-St,40.702461,-73.98684200000001,Baldwin-at-Montgomery_Front-St-&-Jay-St,Destination
238,336391,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Glenwood-Ave,Origin
239,336391,3677,Glenwood-Ave,40.72755146730012,-74.07106071710588,Baldwin-at-Montgomery_Glenwood-Ave,Destination
240,343873,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Grand-St,Origin
241,343873,3681,Grand-St,40.71517767732029,-74.03768330812454,Baldwin-at-Montgomery_Grand-St,Destination
242,343840,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Grove-St-PATH,Origin
243,343840,3186,Grove-St-PATH,40.71958611647166,-74.0431174635887,Baldwin-at-Montgomery_Grove-St-PATH,Destination
244,342159,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Hamilton-Park,Origin
245,342159,3203,Hamilton-Park,40.727595965999996,-74.044247311,Baldwin-at-Montgomery_Hamilton-Park,Destination
246,337454,3225,Baldwin-at-Montgomery,40.7236589,-74.0641943,Baldwin-at-Montgomery_Harborside,Origin
247,337454,3639,Harborside,40.71925170000001,-74.034234,Baldwin-at-Montgomery_Harborside,Destination
